Metric,Real,TimeGAN,Absolute_Error
Mean,0.0006093215197324753,0.0005306406528688967,7.868086686357856e-05
Std,0.018394701182842255,0.017311232164502144,0.0010834690183401108
Min,-1.4411238431930542,-0.05413253605365753,1.386991262435913
Max,0.36930665373802185,0.07417839765548706,0.2951282560825348
Average Kurtosis,37.82218933105469,-1.7256146669387817,39.54780197143555
Correlation Error,0.0,0.7362891122364819,0.7362891122364819
Valid Correlation Pairs,1128.0,1128.0,0.0
